"Grouper_id","ICPC_code"
1,"A01"
2,"A02"
3,"A03"
4,"A04"
5,"A05"
6,"A06"
7,"A07"
8,"A08"
9,"A09"
10,"A10"
11,"A11"
12,"A13"
13,"A16"
14,"A18"
15,"A20"
16,"A21"
17,"A23"
18,"A25"
19,"A26"
20,"A27"
21,"A28"
22,"A29"
23,"A30"
24,"A31"
25,"A44"
26,"A70"
27,"A71"
28,"A72"
29,"A73"
30,"A74"
31,"A75"
32,"A76"
33,"A77"
34,"A78"
35,"A79"
36,"A80"
37,"A81"
38,"A82"
39,"A84"
40,"A85"
41,"A86"
42,"A87"
43,"A88"
44,"A89"
45,"A90"
46,"A91"
47,"A92"
48,"A93"
49,"A94"
50,"A95"
51,"A96"
52,"A97"
53,"A98"
54,"A99"
55,"B02"
56,"B04"
57,"B25"
58,"B26"
59,"B27"
60,"B28"
61,"B29"
62,"B30"
63,"B31"
64,"B70"
65,"B71"
66,"B72"
67,"B73"
68,"B74"
69,"B75"
70,"B76"
71,"B77"
72,"B78"
73,"B79"
74,"B80"
75,"B81"
76,"B82"
77,"B83"
78,"B84"
79,"B87"
80,"B90"
81,"B99"
82,"D01"
83,"D02"
84,"D03"
85,"D04"
86,"D05"
87,"D06"
88,"D07"
89,"D08"
90,"D09"
91,"D11"
92,"D12"
93,"D13"
94,"D14"
95,"D15"
96,"D16"
97,"D17"
98,"D18"
99,"D19"
100,"D20"
101,"D21"
102,"D23"
103,"D24"
104,"D25"
105,"D26"
106,"D27"
107,"D28"
108,"D29"
109,"D30"
110,"D31"
111,"D44"
112,"D70"
113,"D71"
114,"D72"
115,"D73"
116,"D74"
117,"D75"
118,"D76"
119,"D77"
120,"D78"
121,"D79"
122,"D80"
123,"D81"
124,"D82"
125,"D83"
126,"D84"
127,"D85"
128,"D86"
129,"D87"
130,"D88"
131,"D89"
132,"D90"
133,"D91"
134,"D92"
135,"D93"
136,"D94"
137,"D95"
138,"D96"
139,"D98"
140,"D99"
141,"F01"
142,"F02"
143,"F03"
144,"F04"
145,"F05"
146,"F13"
147,"F14"
148,"F15"
149,"F16"
150,"F17"
151,"F18"
152,"F27"
153,"F28"
154,"F29"
155,"F30"
156,"F31"
157,"F70"
158,"F71"
159,"F72"
160,"F73"
161,"F75"
162,"F76"
163,"F79"
164,"F80"
165,"F82"
166,"F83"
167,"F84"
168,"F85"
169,"F91"
170,"F92"
171,"F93"
172,"F94"
173,"F95"
174,"F99"
175,"D01"
175,"D06"
176,"P01"
176,"P74"
177,"L70009"
177,"L70010"
177,"L81003"
177,"L83010"
177,"L84003"
177,"L84023"
177,"L84024"
177,"L84025"
177,"L84026"
177,"L89004"
177,"L90004"
177,"L91007"
177,"L91009"
177,"L91010"
177,"L91011"
177,"L91012"
177,"L91013"
177,"L91014"
177,"L92006"
177,"S91002"
177,"T99063"
178,"L02"
178,"L03"
178,"L86"
179,"A30"
179,"A31"
179,"B30"
179,"B31"
179,"D30"
179,"D31"
179,"F30"
179,"F31"
179,"H30"
179,"H31"
179,"K30"
179,"K31"
179,"L30"
179,"L31"
179,"N30"
179,"N31"
179,"P30"
179,"P31"
179,"R30"
179,"R31"
179,"S30"
179,"S31"
179,"T30"
179,"T31"
179,"U30"
179,"U31"
179,"W30"
179,"W31"
179,"X30"
179,"X31"
179,"X37"
179,"Y30"
179,"Y31"
179,"Z30"
179,"Z31"
180,"A30"
180,"A31"
181,"B30"
181,"B31"
182,"D30"
182,"D31"
183,"F30"
183,"F31"
184,"H30"
184,"H31"
185,"K30"
185,"K31"
186,"L30"
186,"L31"
187,"N30"
187,"N31"
188,"P30"
188,"P31"
189,"R30"
189,"R31"
190,"S30"
190,"S31"
191,"T30"
191,"T31"
192,"U30"
192,"U31"
193,"W30"
193,"W31"
194,"X30"
194,"X31"
194,"X37"
195,"Y30"
195,"Y31"
196,"Z30"
196,"Z31"
197,"U70"
197,"U71"
198,"P03"
198,"P76"
199,"K86"
199,"K87"
199,"W81002"
199,"W81003"
200,"A44"
200,"D44002"
200,"D44003"
200,"D44004"
200,"D44007"
200,"D44009"
200,"D44010"
200,"D44016"
200,"D44018"
200,"N44"
200,"R44"
201,"L83011"
201,"L84004"
201,"L84009"
201,"L84010"
201,"L84011"
201,"L84012"
201,"L89001"
201,"L90001"
201,"L91001"
201,"L91003"
201,"L91008"
201,"L91015"
201,"L92007"
202,"S06"
202,"S07"
203,"L19014"
203,"L77"
203,"L78"
203,"L79"
203,"L83023"
203,"L83024"
203,"L83025"
203,"L84020"
203,"L84021"
204,"S04"
204,"S05"
205,"R76"
205,"R90"
206,"L72"
206,"L73"
206,"L74"
206,"L75"
206,"L76"
206,"L84019"
206,"L99017"
206,"L99018"
206,"L99019"
206,"L99095"
206,"N54005"
206,"N80012"
206,"N80013"
206,"N80014"
207,"T89"
207,"T90"
207,"W85"
208,"B80"
208,"B81"
208,"B82"
209,"X02"
209,"X03"
209,"X05"
209,"X06"
209,"X07"
209,"X08"
209,"X09"
